ID,P18_genere,P19_edat,P21_salari_brut_anual,P22_urba_rural,P22_provincia
94,R18_dona,R19_25-34anys,R21_menys_11000,R22_urba,R22_barcelona
95,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_tarragona
96,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
97,R18_dona,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
98,R18_dona,R19_45-54anys,R21_36000-49999,R22_semidens,R22_barcelona
99,R18_home,R19_35-44anys,R21_25000-35999,R22_urba,R22_barcelona
100,R18_home,R19_35-44anys,R21_17000-24999,R22_urba,R22_barcelona
101,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
102,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
104,R18_home,R19_35-44anys,R21_11000-16999,R22_urba,R22_barcelona
105,R18_home,R19_45-54anys,R21_36000-49999,R22_urba,R22_barcelona
107,R18_dona,R19_25-34anys,R21_17000-24999,R22_urba,R22_barcelona
108,R18_home,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
109,R18_home,R19_45-54anys,R21_25000-35999,R22_urba,R22_barcelona
110,R18_dona,R19_55-64anys,R21_25000-35999,R22_urba,R22_barcelona
111,R18_home,R19_65anys_mes,R21_36000-49999,R22_rural,R22_barcelona
112,R18_dona,R19_35-44anys,R21_17000-24999,R22_urba,R22_barcelona
113,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
114,R18_dona,R19_45-54anys,R21_50000_mes,R22_urba,R22_barcelona
115,R18_home,R19_25-34anys,R21_36000-49999,R22_urba,R22_barcelona
116,R18_dona,R19_65anys_mes,R21_25000-35999,R22_urba,R22_barcelona
117,R18_dona,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
118,R18_home,R19_16-24anys,R21_menys_11000,R22_urba,R22_barcelona
119,R18_dona,R19_25-34anys,R21_25000-35999,R22_urba,R22_barcelona
120,R18_dona,R19_45-54anys,R21_17000-24999,R22_urba,R22_barcelona
121,R18_dona,R19_65anys_mes,R21_36000-49999,R22_urba,R22_barcelona
