nclass,LL,AIC,BIC,entropy,pp_min,pp_avg,n_min,nr_min
1,-5590.66,11231.32,11336.44,NA,1,1,495,100
2,-5416.81,10935.62,11150.05,0.73,0.92,0.92,230,46.46
3,-5323.9,10801.81,11125.56,0.77,0.88,0.9,134,27.07
4,-5278.5,10763,11196.07,0.8,0.9,0.9,67,13.54
5,-5233.11,10724.21,11266.6,0.79,0.83,0.88,65,13.13
