cov_cat,var_cat,residual,significant,var,cov,p,sig,var_type
"< 17,000",Medium,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
"≥ 36,000",Medium,NA,FALSE,Social stigma,Q21_annual_gross_salary,0.8838787638455973,,barriers
Rural,High,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Town and suburb,High,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Urban,High,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Rural,Low,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Town and suburb,Low,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Urban,Low,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Rural,Medium,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Town and suburb,Medium,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Urban,Medium,NA,FALSE,Social stigma,Q22B_degurba,0.7917083147449153,,barriers
Barcelona,High,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Girona,High,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Lleida,High,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Tarragona,High,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Barcelona,Low,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Girona,Low,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Lleida,Low,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Tarragona,Low,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Barcelona,Medium,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Girona,Medium,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Lleida,Medium,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Tarragona,Medium,NA,FALSE,Social stigma,Q22C_province,0.2679765159882538,,barriers
Man,High,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
Woman,High,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
Man,Low,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
Woman,Low,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
Man,Medium,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
Woman,Medium,NA,FALSE,Perceived lower quality,Q18_gender,0.16404624760267095,,barriers
16-34,High,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
35-54,High,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
≥ 55,High,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
16-34,Low,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
35-54,Low,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
≥ 55,Low,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
16-34,Medium,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
35-54,Medium,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
≥ 55,Medium,NA,FALSE,Perceived lower quality,Q19_age,0.40267674109122725,,barriers
"[17,000, 36,000)",High,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"< 17,000",High,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"≥ 36,000",High,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"[17,000, 36,000)",Low,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"< 17,000",Low,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"≥ 36,000",Low,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"[17,000, 36,000)",Medium,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"< 17,000",Medium,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
"≥ 36,000",Medium,NA,FALSE,Perceived lower quality,Q21_annual_gross_salary,0.6891052662159252,,barriers
Rural,High,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Town and suburb,High,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Urban,High,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Rural,Low,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Town and suburb,Low,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Urban,Low,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Rural,Medium,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Town and suburb,Medium,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Urban,Medium,NA,FALSE,Perceived lower quality,Q22B_degurba,0.4033263191068199,,barriers
Barcelona,High,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Girona,High,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Lleida,High,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Tarragona,High,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
Barcelona,Low,NA,FALSE,Perceived lower quality,Q22C_province,0.8622880699200499,,barriers
