x2,p,cramerv,var,cov,sig,label,var_type
1.423567976015366,0.4907678920002761,0.06499413294715928,Alternative purchase,Q18_gender,,V = 0.06,motivations
13.86286197942501,0.00774585422334945,0.14341563540932023,Alternative purchase,Q19_age,**,V = 0.14**,motivations
11.784291244704717,0.01902953230449611,0.13222749955674035,Alternative purchase,Q21_annual_gross_salary,*,V = 0.13*,motivations
7.611697727018857,0.10688356932196792,0.10627003373369612,Alternative purchase,Q22B_degurba,,V = 0.11,motivations
12.9443228971981,0.04392867315952852,0.13858292409399608,Alternative purchase,Q22C_province,*,V = 0.14*,motivations
3.4570059595827116,0.1775500070667892,0.101282663480037,Environmental sustainability,Q18_gender,,V = 0.10,motivations
5.480927390923789,0.24141107118179003,0.09017726847240988,Environmental sustainability,Q19_age,,V = 0.09,motivations
7.802241713559146,0.09909691864304092,0.10759194338446083,Environmental sustainability,Q21_annual_gross_salary,,V = 0.11,motivations
9.139229754236313,0.0577120684985821,0.11644607362494087,Environmental sustainability,Q22B_degurba,,V = 0.12,motivations
5.158867775641122,0.5236047520928603,0.08748775052571155,Environmental sustainability,Q22C_province,,V = 0.09,motivations
4.830629141185447,0.08933923100617205,0.11972556578041509,Cheaper price,Q18_gender,,V = 0.12,motivations
10.675069086862855,0.03046902382069055,0.12585063144265357,Cheaper price,Q19_age,*,V = 0.13*,motivations
2.549237318809496,0.6358413202131312,0.06150000987683566,Cheaper price,Q21_annual_gross_salary,,V = 0.06,motivations
1.2006337898959183,0.8779942573510041,0.04220611059264913,Cheaper price,Q22B_degurba,,V = 0.04,motivations
5.8522807908535155,0.4399396551294778,0.0931821291087653,Cheaper price,Q22C_province,,V = 0.09,motivations
1.0986157112820236,0.5773492811669388,0.05709629824983313,Vintage & unique items,Q18_gender,,V = 0.06,motivations
20.009438130839975,4.972613183140766e-4,0.1723008812105576,Vintage & unique items,Q19_age,***,V = 0.17***,motivations
14.6051674435749,0.00559424457814716,0.1472052577134359,Vintage & unique items,Q21_annual_gross_salary,**,V = 0.15**,motivations
5.626701458926878,0.22881476933555647,0.09136860373864576,Vintage & unique items,Q22B_degurba,,V = 0.09,motivations
9.435246368674978,0.150538976593648,0.1183168705326231,Vintage & unique items,Q22C_province,,V = 0.12,motivations
0.5762113715666514,0.7496823572849358,0.04135004266488355,Shopping experience,Q18_gender,,V = 0.04,motivations
2.6464813022393856,0.6186116365977873,0.06266203094392084,Shopping experience,Q19_age,,V = 0.06,motivations
3.761306120900071,0.4392721901562278,0.07470323205640902,Shopping experience,Q21_annual_gross_salary,,V = 0.07,motivations
3.343015278892562,0.502145848099068,0.07042700704842605,Shopping experience,Q22B_degurba,,V = 0.07,motivations
7.879114085788886,0.24709420711691124,0.10812067446135164,Shopping experience,Q22C_province,,V = 0.11,motivations
2.513861268534056,0.2845260019699687,0.08636856480657729,Trendiness,Q18_gender,,V = 0.09,motivations
7.03172602962028,0.13422111832136255,0.10214121566303232,Trendiness,Q19_age,,V = 0.10,motivations
4.562280629636215,0.33522635261295586,0.082273703930908,Trendiness,Q21_annual_gross_salary,,V = 0.08,motivations
4.147196742416009,0.38645131289791407,0.07844176753358059,Trendiness,Q22B_degurba,,V = 0.08,motivations
3.718023134530738,0.7147723965907152,0.07427216705473882,Trendiness,Q22C_province,,V = 0.07,motivations
0.5703785093542935,0.7518719455711945,0.04114022158316421,Perceived higher quality,Q18_gender,,V = 0.04,motivations
3.0096146569688407,0.5562177016247293,0.06682292754253111,Perceived higher quality,Q19_age,,V = 0.07,motivations
1.6464902598178202,0.8004132052184982,0.04942533648818245,Perceived higher quality,Q21_annual_gross_salary,,V = 0.05,motivations
12.790119897961684,0.01234816578761332,0.137754996344043,Perceived higher quality,Q22B_degurba,*,V = 0.14*,motivations
8.980051712278655,0.17470306071885386,0.11542754810246798,Perceived higher quality,Q22C_province,,V = 0.12,motivations
