x2,p,cramerv,var,cov,sig,label,var_type
2.062863325072829,0.3564962127749407,0.0634746400681632,Hygiene concerns,Q18_gender,,V = 0.06,barriers
7.412331458698878,0.11563781890862272,0.08507999142063676,Hygiene concerns,Q19_age,,V = 0.09,barriers
8.830438069430787,0.06548031568134464,0.09286266567990877,Hygiene concerns,Q21_annual_gross_salary,,V = 0.09,barriers
7.144843195380306,0.12842905310404087,0.08353074842827987,Hygiene concerns,Q22B_degurba,,V = 0.08,barriers
4.527569141993775,0.6056645173960968,0.06649401657463846,Hygiene concerns,Q22C_province,,V = 0.07,barriers
2.8098744050310795,0.24538246537065656,0.07408127933105858,Social stigma,Q18_gender,,V = 0.07,barriers
5.710342196930953,0.2218495767640798,0.07467600720238318,Social stigma,Q19_age,,V = 0.07,barriers
1.164680732560947,0.8838787638455973,0.0337251171664614,Social stigma,Q21_annual_gross_salary,,V = 0.03,barriers
1.6945448750573977,0.7917083147449153,0.0406795892254118,Social stigma,Q22B_degurba,,V = 0.04,barriers
7.61140940423879,0.2679765159882538,0.08621494647871066,Social stigma,Q22C_province,,V = 0.09,barriers
3.61521378666904,0.16404624760267095,0.08402954496537494,Perceived lower quality,Q18_gender,,V = 0.08,barriers
4.024675076808648,0.40267674109122725,0.0626924776563819,Perceived lower quality,Q19_age,,V = 0.06,barriers
2.254278463589596,0.6891052662159252,0.04691954616254525,Perceived lower quality,Q21_annual_gross_salary,,V = 0.05,barriers
4.019848446646208,0.4033263191068199,0.06265487410152491,Perceived lower quality,Q22B_degurba,,V = 0.06,barriers
2.5547726971049114,0.8622880699200499,0.0499489260346658,Perceived lower quality,Q22C_province,,V = 0.05,barriers
5.795688591205245,0.05514196179390018,0.1063940988950879,Limited style availability,Q18_gender,,V = 0.11,barriers
7.211863367902131,0.12510689906463765,0.08392160222622615,Limited style availability,Q19_age,,V = 0.08,barriers
3.770546523381559,0.4379486345823067,0.06068092236642258,Limited style availability,Q21_annual_gross_salary,,V = 0.06,barriers
5.872766392199404,0.20885378504854665,0.07573059771243212,Limited style availability,Q22B_degurba,,V = 0.08,barriers
7.090828197259759,0.3125291305019379,0.08321440326882411,Limited style availability,Q22C_province,,V = 0.08,barriers
6.010495068934366,0.04952649329686283,0.10834781115238291,Limited size availability,Q18_gender,*,V = 0.11*,barriers
4.740610672598851,0.31496240647692736,0.0680404483374398,Limited size availability,Q19_age,,V = 0.07,barriers
16.47460603302426,0.00244416175630835,0.12684038179588256,Limited size availability,Q21_annual_gross_salary,**,V = 0.13**,barriers
4.097130256842651,0.39302026710686094,0.06325427864143185,Limited size availability,Q22B_degurba,,V = 0.06,barriers
5.819152302457435,0.4437508362950474,0.0753841224686511,Limited size availability,Q22C_province,,V = 0.08,barriers
0.6152793304947908,0.7351801812552191,0.03466579643355447,Comparable price to new clothing,Q18_gender,,V = 0.03,barriers
14.911851585690608,0.00488757836521105,0.12067458333945465,Comparable price to new clothing,Q19_age,**,V = 0.12**,barriers
12.10042388279603,0.01661990405532336,0.10870519857873862,Comparable price to new clothing,Q21_annual_gross_salary,*,V = 0.11*,barriers
2.3636578740889593,0.669204590621432,0.04804435078825604,Comparable price to new clothing,Q22B_degurba,,V = 0.05,barriers
2.9081846800130147,0.8202793018659433,0.05329187650641709,Comparable price to new clothing,Q22C_province,,V = 0.05,barriers
0.03528956456931134,0.9825099753280084,0.00830210399835103,Environmental scepticism,Q18_gender,,V = 0.01,barriers
25.65608825555684,3.7120342823802085e-5,0.1582869978458977,Environmental scepticism,Q19_age,***,V = 0.16***,barriers
3.0895974903957457,0.5429450415259348,0.05492890904810139,Environmental scepticism,Q21_annual_gross_salary,,V = 0.05,barriers
15.048766615433216,0.00460113334523581,0.12122731188921083,Environmental scepticism,Q22B_degurba,**,V = 0.12**,barriers
9.9450953929192,0.12698329512680448,0.0985495165875899,Environmental scepticism,Q22C_province,,V = 0.10,barriers
2.078092735410865,0.35379190852767894,0.06370851492421829,Limited access,Q18_gender,,V = 0.06,barriers
8.348215501746422,0.07962391099325081,0.09029149572869108,Limited access,Q19_age,,V = 0.09,barriers
4.823478183046724,0.305893911153828,0.06863255723875926,Limited access,Q21_annual_gross_salary,,V = 0.07,barriers
16.901249987738332,0.00202022958591654,0.12847228082800863,Limited access,Q22B_degurba,**,V = 0.13**,barriers
17.098553566345426,0.00892778870244914,0.12921999155368416,Limited access,Q22C_province,**,V = 0.13**,barriers
